model_key,model,feature_set,fold,n_train,n_val,threshold,auroc,auprc,accuracy,sensitivity,specificity,f1,tp,tn,fp,fn
linear_svm,Linear SVM,biomarker20,0,32,8,0.49999999999999994,1.0,1.0,0.875,0.5,1.0,0.6666666666666666,1.0,6.0,0.0,1.0
linear_svm,Linear SVM,biomarker20,1,32,8,0.4777289996311679,1.0,1.0,1.0,1.0,1.0,1.0,2.0,6.0,0.0,0.0
linear_svm,Linear SVM,biomarker20,2,32,8,0.46159503258258583,0.9333333333333333,0.9166666666666666,0.75,0.6666666666666666,0.8,0.6666666666666666,2.0,4.0,1.0,1.0
linear_svm,Linear SVM,biomarker20,3,32,8,0.49999999999999994,1.0,1.0,0.875,1.0,0.8333333333333334,0.8,2.0,5.0,1.0,0.0
linear_svm,Linear SVM,biomarker20,4,32,8,0.4600167319824369,1.0,1.0,1.0,1.0,1.0,1.0,2.0,6.0,0.0,0.0
rbf_svm,RBF-SVM,biomarker20,0,32,8,0.3775467689145987,1.0,1.0,0.875,0.5,1.0,0.6666666666666666,1.0,6.0,0.0,1.0
rbf_svm,RBF-SVM,biomarker20,1,32,8,0.4731374463475461,0.9166666666666667,0.8333333333333333,0.75,0.5,0.8333333333333334,0.5,1.0,5.0,1.0,1.0
rbf_svm,RBF-SVM,biomarker20,2,32,8,0.35276260089516426,0.9333333333333333,0.9166666666666666,0.75,0.6666666666666666,0.8,0.6666666666666666,2.0,4.0,1.0,1.0
rbf_svm,RBF-SVM,biomarker20,3,32,8,0.49999999999999994,0.9166666666666667,0.8333333333333333,0.875,1.0,0.8333333333333334,0.8,2.0,5.0,1.0,0.0
rbf_svm,RBF-SVM,biomarker20,4,32,8,0.4258737638607876,1.0,1.0,0.875,1.0,0.8333333333333334,0.8,2.0,5.0,1.0,0.0
random_forest,Random Forest,biomarker20,0,32,8,0.4307300855323174,0.8333333333333334,0.5833333333333333,0.75,0.0,1.0,0.0,0.0,6.0,0.0,2.0
random_forest,Random Forest,biomarker20,1,32,8,0.44710724262812246,0.7500000000000001,0.5,0.75,0.5,0.8333333333333334,0.5,1.0,5.0,1.0,1.0
random_forest,Random Forest,biomarker20,2,32,8,0.4152668064391749,0.9333333333333333,0.9166666666666666,0.75,0.3333333333333333,1.0,0.5,1.0,5.0,0.0,2.0
random_forest,Random Forest,biomarker20,3,32,8,0.45173382964667513,1.0,1.0,0.875,0.5,1.0,0.6666666666666666,1.0,6.0,0.0,1.0
random_forest,Random Forest,biomarker20,4,32,8,0.4609997664058612,1.0,1.0,1.0,1.0,1.0,1.0,2.0,6.0,0.0,0.0
xgboost,XGBoost,biomarker20,0,32,8,0.5199999999999999,0.8333333333333334,0.5833333333333333,0.75,0.0,1.0,0.0,0.0,6.0,0.0,2.0
xgboost,XGBoost,biomarker20,1,32,8,0.7499999999999999,0.5833333333333334,0.3666666666666667,0.75,0.0,1.0,0.0,0.0,6.0,0.0,2.0
xgboost,XGBoost,biomarker20,2,32,8,0.725,0.7333333333333333,0.5888888888888888,0.625,0.0,1.0,0.0,0.0,5.0,0.0,3.0
xgboost,XGBoost,biomarker20,3,32,8,0.5449999999999999,1.0,1.0,0.75,0.0,1.0,0.0,0.0,6.0,0.0,2.0
xgboost,XGBoost,biomarker20,4,32,8,0.585,0.9166666666666667,0.8333333333333333,0.875,0.5,1.0,0.6666666666666666,1.0,6.0,0.0,1.0
mlp_full_features,MLP-full features,full658,0,32,8,0.8849999999999999,0.41666666666666663,0.30952380952380953,0.75,0.0,1.0,0.0,0.0,6.0,0.0,2.0
mlp_full_features,MLP-full features,full658,1,32,8,0.8799999999999999,0.5,0.325,0.75,0.0,1.0,0.0,0.0,6.0,0.0,2.0
mlp_full_features,MLP-full features,full658,2,32,8,0.95,0.4666666666666666,0.4206349206349207,0.625,0.0,1.0,0.0,0.0,5.0,0.0,3.0
mlp_full_features,MLP-full features,full658,3,32,8,0.9149999999999999,0.0,0.19642857142857142,0.75,0.0,1.0,0.0,0.0,6.0,0.0,2.0
mlp_full_features,MLP-full features,full658,4,32,8,0.9349999999999999,0.16666666666666669,0.225,0.75,0.0,1.0,0.0,0.0,6.0,0.0,2.0
current_biomarker_mlp_q65,Biomarker MLP q65,biomarker20,0,32,8,0.3275245874785029,0.9166666666666667,0.8333333333333333,0.875,0.5,1.0,0.6666666666666666,1.0,6.0,0.0,1.0
current_biomarker_mlp_q65,Biomarker MLP q65,biomarker20,1,32,8,0.3841118750558501,1.0,1.0,1.0,1.0,1.0,1.0,2.0,6.0,0.0,0.0
current_biomarker_mlp_q65,Biomarker MLP q65,biomarker20,2,32,8,0.3007729281645735,0.9333333333333333,0.9166666666666666,0.875,0.6666666666666666,1.0,0.8,2.0,5.0,0.0,1.0
current_biomarker_mlp_q65,Biomarker MLP q65,biomarker20,3,32,8,0.3525357194663847,1.0,1.0,0.875,1.0,0.8333333333333334,0.8,2.0,5.0,1.0,0.0
current_biomarker_mlp_q65,Biomarker MLP q65,biomarker20,4,32,8,0.3821643818114181,1.0,1.0,0.875,1.0,0.8333333333333334,0.8,2.0,5.0,1.0,0.0
