fold,strategy,threshold,oof_objective,oof_f1,oof_youden,oof_accuracy,val_f1,val_youden,val_accuracy
0,accuracy,0.32374034409242125,0.9375,0.9,0.9130434782608696,0.9375,0.6666666666666666,0.5,0.875
0,balanced_accuracy,0.32374034409242125,0.9565217391304348,0.9,0.9130434782608696,0.9375,0.6666666666666666,0.5,0.875
0,f1,0.32374034409242125,0.9,0.9,0.9130434782608696,0.9375,0.6666666666666666,0.5,0.875
0,youden,0.32374034409242125,0.9130434782608696,0.9,0.9130434782608696,0.9375,0.6666666666666666,0.5,0.875
1,accuracy,0.38411187505585015,0.875,0.75,0.6231884057971016,0.875,0.5,0.3333333333333335,0.75
1,balanced_accuracy,0.3474081596244773,0.8792270531400965,0.7999999999999999,0.758454106280193,0.875,0.8,0.8333333333333335,0.875
1,f1,0.3474081596244773,0.7999999999999999,0.7999999999999999,0.758454106280193,0.875,0.8,0.8333333333333335,0.875
1,youden,0.3474081596244773,0.758454106280193,0.7999999999999999,0.758454106280193,0.875,0.8,0.8333333333333335,0.875
2,accuracy,0.2820715027672283,0.90625,0.8421052631578948,0.875,0.90625,0.8,0.6666666666666665,0.875
2,balanced_accuracy,0.2820715027672283,0.9375,0.8421052631578948,0.875,0.90625,0.8,0.6666666666666665,0.875
2,f1,0.2820715027672283,0.8421052631578948,0.8421052631578948,0.875,0.90625,0.8,0.6666666666666665,0.875
2,youden,0.2820715027672283,0.875,0.8421052631578948,0.875,0.90625,0.8,0.6666666666666665,0.875
3,accuracy,0.33922581557388765,0.90625,0.823529411764706,0.7342995169082127,0.90625,0.8,0.8333333333333335,0.875
3,balanced_accuracy,0.33922581557388765,0.8671497584541064,0.823529411764706,0.7342995169082127,0.90625,0.8,0.8333333333333335,0.875
3,f1,0.33922581557388765,0.823529411764706,0.823529411764706,0.7342995169082127,0.90625,0.8,0.8333333333333335,0.875
3,youden,0.33922581557388765,0.7342995169082127,0.823529411764706,0.7342995169082127,0.90625,0.8,0.8333333333333335,0.875
4,accuracy,0.38216438181141815,0.90625,0.823529411764706,0.7342995169082127,0.90625,1.0,1.0,1.0
4,balanced_accuracy,0.3162621450149029,0.9009661835748792,0.8421052631578948,0.8019323671497585,0.90625,0.8,0.8333333333333335,0.875
4,f1,0.3162621450149029,0.8421052631578948,0.8421052631578948,0.8019323671497585,0.90625,0.8,0.8333333333333335,0.875
4,youden,0.3162621450149029,0.8019323671497585,0.8421052631578948,0.8019323671497585,0.90625,0.8,0.8333333333333335,0.875
