epoch,train_loss_mean,train_loss_std,train_auroc_mean,train_auroc_std,train_auprc_mean,train_auprc_std
1,0.719088739156723,0.05129098297572225,0.5500935990338164,0.16126404234258027,0.38827677836553554,0.12726072580004816
2,0.7005088177323341,0.05317602865543569,0.6164824879227053,0.15360397739476053,0.4465424792203564,0.14219890206060848
3,0.6951432764530182,0.04945983945904261,0.6798867753623189,0.14677057677661348,0.5169632710655214,0.155880376989493
4,0.678697442561388,0.051310913042656926,0.7317134661835749,0.14167743833568888,0.585799115052201,0.16893335999243939
5,0.6663962619006634,0.06242741710948103,0.7827173913043478,0.12414827267971634,0.6397121202862658,0.16109698091781213
6,0.6481967324018478,0.043432827746980304,0.8254242149758454,0.10607459341294821,0.6985455853722329,0.15301824302091974
7,0.6373045140504837,0.05943900997302023,0.8668312198067634,0.08621295399240453,0.7612993489118334,0.13139947126641813
8,0.6213065749406814,0.04240305065364272,0.8972871376811594,0.07119575332034798,0.806820190982746,0.11892431490745727
9,0.6041968071460724,0.051318043970846036,0.9190685386473431,0.054853229745819874,0.8424925019324787,0.0983224674347424
10,0.5941097815334797,0.059838541606434634,0.9358016304347827,0.04666835391565291,0.871765074512591,0.0871931070146106
11,0.5805931121110917,0.04595761697287166,0.9502083333333334,0.038226174592797195,0.8987799498069106,0.07531160322140015
12,0.5671120850741863,0.040812949752441804,0.9621769323671497,0.03039369459018218,0.9210025523677484,0.06554652135279777
13,0.5552418653666973,0.04326592364691307,0.9695289855072464,0.025877384962096107,0.935530676161739,0.05693298135495611
14,0.5433711458742618,0.04992419970144978,0.9766878019323672,0.02172924007107817,0.9487671052622033,0.05137677736434781
15,0.536815318763256,0.038549776911178155,0.9820546497584541,0.0182318626747357,0.959779771608203,0.043633274339558444
16,0.5244344253838062,0.045322394133652195,0.9859571256038647,0.015723454561821067,0.9684660575444889,0.036725049064983105
17,0.5155511075258254,0.044153478351042975,0.9890942028985508,0.0122552676484969,0.9751267282100615,0.028823368371495642
18,0.5033437815308571,0.04853072982953107,0.9916440217391305,0.010486460108759327,0.9811562765937765,0.024167291541755252
19,0.49381561249494554,0.04087719734307899,0.992632850241546,0.009835503548609487,0.9830155222863556,0.023471600857960816
20,0.4884973666071892,0.04569109555442598,0.9944097222222222,0.008108759802200355,0.9868339561672894,0.020514346217598595
