outer_fold,inner_fold,ensemble_size,n_train,n_val,best_epoch,best_epoch_mean,best_epoch_min,best_epoch_max,val_loss,loss_name,pos_weight,threshold,auroc,auprc,accuracy,sensitivity,specificity,f1,tp,tn,fp,fn
0,0,10,24,8,15,16.9,5,32,0.589129900932312,bce,1.0,0.5,1.0,1.0,1.0,1.0,1.0,1.0,3.0,5.0,0.0,0.0
0,1,10,24,8,14,13.7,4,27,0.6379932701587677,bce,1.0,0.5,0.9166666666666667,0.8333333333333333,0.875,1.0,0.8333333333333334,0.8,2.0,5.0,1.0,0.0
0,2,10,24,8,6,8.3,1,22,0.6449928104877471,bce,1.0,0.5,0.9166666666666667,0.8333333333333333,0.875,1.0,0.8333333333333334,0.8,2.0,5.0,1.0,0.0
0,3,10,24,8,15,17.5,3,46,0.5968875616788865,bce,1.0,0.5,1.0,1.0,1.0,1.0,1.0,1.0,2.0,6.0,0.0,0.0
1,0,10,24,8,15,14.4,1,27,0.60163654088974,bce,1.0,0.5,1.0,1.0,0.75,1.0,0.6666666666666666,0.6666666666666666,2.0,4.0,2.0,0.0
1,1,10,24,8,18,16.4,1,30,0.5843781948089599,bce,1.0,0.5,1.0,1.0,0.875,1.0,0.8333333333333334,0.8,2.0,5.0,1.0,0.0
1,2,10,24,8,12,12.5,4,20,0.5974826514720917,bce,1.0,0.5,1.0,1.0,0.875,1.0,0.8333333333333334,0.8,2.0,5.0,1.0,0.0
1,3,10,24,8,14,13.8,3,27,0.6452044546604156,bce,1.0,0.5,0.7333333333333333,0.5888888888888888,0.625,0.6666666666666666,0.6,0.5714285714285715,2.0,3.0,2.0,1.0
2,0,10,24,8,5,7.8,1,25,0.6958322644233703,bce,1.0,0.5,0.6666666666666667,0.41666666666666663,0.75,1.0,0.6666666666666666,0.6666666666666666,2.0,4.0,2.0,0.0
2,1,10,24,8,8,6.2,1,11,0.6306708514690399,bce,1.0,0.5,1.0,1.0,0.875,1.0,0.8333333333333334,0.8,2.0,5.0,1.0,0.0
2,2,10,24,8,8,13.8,1,39,0.6310409724712371,bce,1.0,0.5,0.9166666666666667,0.8333333333333333,0.75,1.0,0.6666666666666666,0.6666666666666666,2.0,4.0,2.0,0.0
2,3,10,24,8,12,16.5,6,36,0.5836617439985275,bce,1.0,0.5,1.0,1.0,1.0,1.0,1.0,1.0,2.0,6.0,0.0,0.0
3,0,10,24,8,12,13.3,1,29,0.6413193464279174,bce,1.0,0.5,0.8333333333333334,0.75,0.625,0.5,0.6666666666666666,0.4,1.0,4.0,2.0,1.0
3,1,10,24,8,13,13.9,4,25,0.669421237707138,bce,1.0,0.5,0.8333333333333334,0.5833333333333333,0.625,1.0,0.5,0.5714285714285715,2.0,3.0,3.0,0.0
3,2,10,24,8,14,16.7,2,40,0.5945719420909882,bce,1.0,0.5,1.0,1.0,0.875,1.0,0.8333333333333334,0.8,2.0,5.0,1.0,0.0
3,3,10,24,8,21,20.4,1,47,0.5797760963439942,bce,1.0,0.5,1.0,1.0,1.0,1.0,1.0,1.0,3.0,5.0,0.0,0.0
4,0,10,24,8,19,20.5,1,37,0.6569743990898133,bce,1.0,0.5,0.8333333333333334,0.5833333333333333,0.875,1.0,0.8333333333333334,0.8,2.0,5.0,1.0,0.0
4,1,10,24,8,14,16.1,7,37,0.5739711195230484,bce,1.0,0.5,1.0,1.0,1.0,1.0,1.0,1.0,2.0,6.0,0.0,0.0
4,2,10,24,8,14,17.2,1,44,0.5836389839649201,bce,1.0,0.5,1.0,1.0,1.0,1.0,1.0,1.0,2.0,6.0,0.0,0.0
4,3,10,24,8,12,12.8,2,27,0.6119821429252624,bce,1.0,0.5,0.8666666666666667,0.8055555555555556,0.625,0.3333333333333333,0.8,0.4,1.0,4.0,1.0,2.0
