fold,bootstrap_objective,threshold_aggregation,threshold_quantile,threshold,n_bootstrap,n_val,n_val_positive,n_val_negative,source_threshold,auroc,auprc,accuracy,sensitivity,specificity,f1,tp,tn,fp,fn,oof_auroc,oof_auprc,oof_accuracy,oof_sensitivity,oof_specificity,oof_f1,oof_tp,oof_tn,oof_fp,oof_fn
0,accuracy,median,0.5,0.3237403440924212,1000,8,2,6,0.3237403440924212,0.9166666666666667,0.8333333333333333,0.75,0.5,0.8333333333333334,0.5,1.0,5.0,1.0,1.0,0.9323671497584541,0.7918791085457753,0.9375,1.0,0.9130434782608695,0.9,9.0,21.0,2.0,0.0
0,accuracy,q65,0.65,0.3275245874785029,1000,8,2,6,0.3237403440924212,0.9166666666666667,0.8333333333333333,0.875,0.5,1.0,0.6666666666666666,1.0,6.0,0.0,1.0,0.9323671497584541,0.7918791085457753,0.90625,0.8888888888888888,0.9130434782608695,0.8421052631578948,8.0,21.0,2.0,1.0
0,accuracy,q75,0.75,0.3275245874785029,1000,8,2,6,0.3237403440924212,0.9166666666666667,0.8333333333333333,0.875,0.5,1.0,0.6666666666666666,1.0,6.0,0.0,1.0,0.9323671497584541,0.7918791085457753,0.90625,0.8888888888888888,0.9130434782608695,0.8421052631578948,8.0,21.0,2.0,1.0
1,accuracy,median,0.5,0.355984591167536,1000,8,2,6,0.3841118750558501,1.0,1.0,1.0,1.0,1.0,1.0,2.0,6.0,0.0,0.0,0.9178743961352657,0.723577040243707,0.875,0.7777777777777778,0.9130434782608695,0.7777777777777778,7.0,21.0,2.0,2.0
1,accuracy,q65,0.65,0.3841118750558501,1000,8,2,6,0.3841118750558501,1.0,1.0,1.0,1.0,1.0,1.0,2.0,6.0,0.0,0.0,0.9178743961352657,0.723577040243707,0.875,0.6666666666666666,0.9565217391304348,0.75,6.0,22.0,1.0,3.0
1,accuracy,q75,0.75,0.3841118750558501,1000,8,2,6,0.3841118750558501,1.0,1.0,1.0,1.0,1.0,1.0,2.0,6.0,0.0,0.0,0.9178743961352657,0.723577040243707,0.875,0.6666666666666666,0.9565217391304348,0.75,6.0,22.0,1.0,3.0
2,accuracy,median,0.5,0.3007729281645735,1000,8,3,5,0.2820715027672283,0.9333333333333333,0.9166666666666666,0.875,0.6666666666666666,1.0,0.8,2.0,5.0,0.0,1.0,0.9322916666666666,0.7947781385281385,0.875,0.875,0.875,0.7777777777777777,7.0,21.0,3.0,1.0
2,accuracy,q65,0.65,0.3007729281645735,1000,8,3,5,0.2820715027672283,0.9333333333333333,0.9166666666666666,0.875,0.6666666666666666,1.0,0.8,2.0,5.0,0.0,1.0,0.9322916666666666,0.7947781385281385,0.875,0.875,0.875,0.7777777777777777,7.0,21.0,3.0,1.0
2,accuracy,q75,0.75,0.3196579632472137,1000,8,3,5,0.2820715027672283,0.9333333333333333,0.9166666666666666,0.875,0.6666666666666666,1.0,0.8,2.0,5.0,0.0,1.0,0.9322916666666666,0.7947781385281385,0.84375,0.625,0.9166666666666666,0.6666666666666666,5.0,22.0,2.0,3.0
3,accuracy,median,0.5,0.3392258155738876,1000,8,2,6,0.3392258155738876,1.0,1.0,0.875,1.0,0.8333333333333334,0.8,2.0,5.0,1.0,0.0,0.9082125603864735,0.8263227513227513,0.90625,0.7777777777777778,0.9565217391304348,0.823529411764706,7.0,22.0,1.0,2.0
3,accuracy,q65,0.65,0.3525357194663847,1000,8,2,6,0.3392258155738876,1.0,1.0,0.875,1.0,0.8333333333333334,0.8,2.0,5.0,1.0,0.0,0.9082125603864735,0.8263227513227513,0.875,0.6666666666666666,0.9565217391304348,0.75,6.0,22.0,1.0,3.0
3,accuracy,q75,0.75,0.3525357194663847,1000,8,2,6,0.3392258155738876,1.0,1.0,0.875,1.0,0.8333333333333334,0.8,2.0,5.0,1.0,0.0,0.9082125603864735,0.8263227513227513,0.875,0.6666666666666666,0.9565217391304348,0.75,6.0,22.0,1.0,3.0
4,accuracy,median,0.5,0.3821643818114181,1000,8,2,6,0.3821643818114181,1.0,1.0,0.875,1.0,0.8333333333333334,0.8,2.0,5.0,1.0,0.0,0.9275362318840579,0.7424603174603175,0.90625,0.7777777777777778,0.9565217391304348,0.823529411764706,7.0,22.0,1.0,2.0
4,accuracy,q65,0.65,0.3821643818114181,1000,8,2,6,0.3821643818114181,1.0,1.0,0.875,1.0,0.8333333333333334,0.8,2.0,5.0,1.0,0.0,0.9275362318840579,0.7424603174603175,0.90625,0.7777777777777778,0.9565217391304348,0.823529411764706,7.0,22.0,1.0,2.0
4,accuracy,q75,0.75,0.3821643818114181,1000,8,2,6,0.3821643818114181,1.0,1.0,0.875,1.0,0.8333333333333334,0.8,2.0,5.0,1.0,0.0,0.9275362318840579,0.7424603174603175,0.90625,0.7777777777777778,0.9565217391304348,0.823529411764706,7.0,22.0,1.0,2.0
